KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_Uuiae,"T минус 3 ч 10 мин @w2 \nJupiter Outpost 31 (Apollon Station) \n@w2 Engine Section @w2 \nCommander {PlayerName}, Tech Chief Kuehn @p9 < громкие голоса > @p9 < металлические шумы > @p9 [К] [Имя игрока], я говорил вам несколько раз, что не будет работать так! @p9 [[Имя игрока]] По крайней мере, мы должны были попробовать! @w5 Кажется, что вся эта установка несовершенна. @w4 Это все равно что пытаться поместить B-коннектор в A-plug. @w4 DAVE, чья это была идея? @p9 [K] Грейсон сказала, что мы должны установить это ... @w2, и время истекает. @w2 Что бы это ни значило. @w2 Наверное, потому что наша смена закончилась через час! @p9 <несколько человек смеются > @p9 [{Имя игрока}] Окей, новая идея - @w3 вы останетесь здесь на консоли, а я спущусь к ядру управления и перезагрузю все это. @w5 Если это не сработает... @p9 [K] Было бы лучше! @w2 Хорошо, я скажу Доусону проверить уровень мощности.",,,,,,,,,,,,,,,,
dialogue_W8IGG,"Я отчетливо помню, что последовало.",,,,,,,,,,,,,,,,
dialogue_OiquC,Закрыть,,,,,,,,,,,,,,,,
dialogue_4m4qS,"T минус 2 ч 55 мин @w2 \nJupiter Outpost 31 (Apollon Station) @w2 \nCore Compartment @w2 \nCommander {PlayerName} @p9 [{PlayerName}] Шеф, Я перезапущу ядро управления. @w2 DAVE, пожалуйста, предоставьте мне доступ к консоли. @p9... @w2 Консоль доступа открылась \n. @w2 Доступ предоставлен Code Beta \n. @w2 Процесс перезапуска инициирован \n. @w2 Процесс перезапуска прерван \n. @w2 Переопределение приоритета @p9 [{Имя игрока}] Привет! @w2 Что это? @p9 .. @w2 Процесс перезапуска инициирован \n@w2 .. @w2 Процесс перезапуска прерван \n.. @w2 Оверрайд приоритет @p9 [{Имя игрока}] Шеф! @w2 Какой-то идиот блокирует мой доступ. ! @w2 I will .. @w2 DAVE, please can you.. @p9 [{Имя игрока}] Неважно! @w2 Что-то происходит! @p9... @w2 Удаленный доступ обнаружен @w2 . @w2 Доступ предоставлен! < Code BLACK > \n.. @w2 Restart initiated\n.. @w2 Повреждён источник питания\n. @w2 ..OVERLOAD WARNING. \n. @w2 .. SYSTEMS OVERLOADING.. @p9 [[Имя игрока]] Шеф! @w2 Отойди от консоли! @w2 Что-то перегружает...! @p9 < громкий металлический шум > @p9 < разрушен преобразователь питания EF1a-2b > \n@w2 < наблюдаются локальные колебания энергии > \n@w2 <энергетическая подпись неизвестна>",,,,,,,,,,,,,,,,
dialogue_eS2IO,Если бы это были только энергетические подписи...,,,,,,,,,,,,,,,,
dialogue_ueEKe,Закрыть,,,,,,,,,,,,,,,,
dialogue_OuW0G,"T минус 2 ч 12 мин @w2 \nJupiter Outpost 31 (Apollon Station) @w2 \nCore Compartment @w2 \nCommander {PlayerName} @p9 [{PlayerName}] Ouch. @w2 Это было бы больно со старым костюмом. @p9 < access materials container > @p9 [{Имя игрока}] Какой беспорядок. @w2 Мне нужно быстро поставить новый модуль и перезапустить. @p9... @w2 Socket access \n.. @w2 Новый модуль ЦП установлен \n.. @w2 Станция ядро перезапущено \n<энергетические шипы расположены! > \n@w2 < Станционная тревога! Состояние Red > @p9 [{Имя игрока}] Шеф? @w2 Похоже, мой костюм был сбит. @w2 Повреждены системы связи. @w2 Я также потерял доступ к DAVE. @p9 <биологический шум > @p9 [[Имя игрока]] Шеф? @w2 Я не слышу тебя ясно! @p9 < small creatures detected > \n@w2 . . . \n@w2 < pest control actived > @p9 [{Имя игрока}] Я поднимусь. @p9 <Дверь машинного отделения разблокирована > @p9 [{Имя игрока}] Шеф? @w3 Где все остальные? @w2 Кто-нибудь меня слышит?",,,,,,,,,,,,,,,,
dialogue_GSWu4,"Я никогда не понимал, как это может произойти.",,,,,,,,,,,,,,,,
dialogue_8QqwW,Закрыть,,,,,,,,,,,,,,,,
dialogue_G8Wqa,"T минус 1 ч 45 мин @w2 \nJupiter Outpost 31 (Apollon Station) @w2 \nLab A @w2 \nCommander {PlayerName}, Dr. Greyson, Dr. Dawson @p9 < Lab Access requested > @p9 < Access denied > @p9 [{PlayerName}] Эй, Грейсон! @w2 Что здесь не так? @p9 [{Имя игрока}] Док! @w2 Я вижу тебя через окно! @w2 Эта дверь сломана! @p9 [G] ..away ..wave ..interferes with .. R..UN! @p9 <intruder alert > \n@w2 < detecting weapon fire > \n@p9 <intruder alert > \n@w2 <intruder alert > \n@w2 < internal defenseactived > \n@w2 < internal defense.. @w2 malfunction > @p9 < explosion Lab A > \n@w2 < Hull breach Lab A > \n@w2 < decompression Lab A > @p9 [{Имя игрока}] Дуок! @w2 Это не может быть правдой! @w2 Это кошмар! @w2 Они все мертвы! @p9 <com with experimental suit 02 re- Established > @p9 [DAVE] Commander {PlayerName}, пожалуйста, успокойтесь. @w2 Помощь уже в пути! @p9 < внутренняя система защиты @w2 .. перезапуск > @w2 \n < протокол эвакуации начался > @p9 [{Имя игрока}] Что это значит, Дэйв? @w2 Я начальник охраны! @p9 [DAVE] Проверьте шкафчик справа. @w4 Он содержит новый тип мультиинструмента выживания на основе энергии. \n\n@w2 Переключитесь в режим DMG, чтобы использовать его луч для атаки и защиты. @p9 [{Имя игрока}] Подождите.. @w2 что? @p9 [DAVE] Проверь свою работу, пожалуйста. @w2 У нас есть несколько странных предупреждений. @w2 Это может быть нападение или террористическая акция. @w2 Пожалуйста, отправляйтесь в ангары и возьмите один из шаттлов. @w2 Эвакуация уже началась! @p9 < внутренняя система защиты @w2 .. перезапустить невозможно > \n@w2 < команда была потеряна > @w2 \n < обнаружение фрагментов кода пришельцев в ядре ИИ > @w2 \n < изоляция фрагментов кода невозможна > @p9 < инициализированный протокол очистки > \n\n@w2 <молчаливый обратный отсчет начался > @p9 [DAVE] Commander! @w2 Пожалуйста, поторопись!",,,,,,,,,,,,,,,,
dialogue_bGGKK,Фрагменты кода инопланетян?,,,,,,,,,,,,,,,,
dialogue_0KS40,Закрыть,,,,,,,,,,,,,,,,
dialogue_quOOm,"T минус 15 мин @w2 \nJupiter Outpost 31 (Apollon Station) @w2 \nHangar Control @w2 \nCommander {PlayerName} @p9 <оружейный огонь > \n@w2 <оружейный огонь > @p9 [{Имя игрока}] Дейв! @w2 Эта внутренняя башня стреляет в меня! @w4 Разве не достаточно того, что все существа @w2 .. . . . @w2, которые внезапно окружают станцию, преследуют меня?! @p9 [DAVE] Пытается найти альтернативный маршрут. @p9 [DAVE] Мне удалось перегрузить подпроцессор. @w4 Вам нужно подняться на ангарный контроль и закрыть его. @p9 [[Имя игрока]] Звучит весело! @p9 <оружейный огонь > @w2 \n < биологические шумы > @w2 \n <оружейный огонь > \n\n@w2 < Модуль доступа M1 уничтожен > @p9 [DAVE] Командующий, мы вот-вот потеряем станцию для злоумышленников. @p9 [Имя игрока] Гений! @w2 Как будто я бы этого не заметил! @w2 Вот почему мы привели весь персонал на шаттлы, верно? @w4 Теперь я единственный, кто сидит здесь, отрезанный от транспорта! @p9 [DAVE] На корпусе за пределами Хангара Б. @w4 пришвартован разведывательный корабль Вы можете использовать .. @w2, если вам удастся сначала попасть на другую сторону двери ангара B. @p9 <биологические шумы > @w2 \n< огонь оружия > @w2 \n\n< Air duct sec 01 unlocked > @p9 [DAVE] Используйте воздуховод справа. @p9 [[Имя игрока]] Это напоминает мне кое-что... @w4 \n\n Хорошо, скажи пилоту, чтобы он начал. @w2 Я доберусь до Hangar B. @p9 < Доступ Scout ER1 предоставлен > \n@w2 < Двигатели приведены в действие > @w2 \n < Активированы системы полета > @p9 [{Имя игрока}] Серьезно? Это? Какая куча мусора! @p9 [Дэйв] Да, но это быстрый корабль! @p9 [DAVE] Командующий, я измеряю возрастающие уровни энергии. @w4 Станция вот-вот взорвется! @p9 [{Имя игрока}] Это становится все лучше и лучше...@w2 не! @p9 < Navpoint set: @w2 UCH002 TITAN > @w2 \n@w2 < Время полета: @w2 8 мин > @p9 < отказ реактора станции > \n@w2 < ejecting data capsules @w2 .. failed > \n@w2 < distant explosions > \n@w2 < downloading data package > @p9 [DAVE] Боюсь, что мои протоколы безопасности не работают. @w4 Я загружаю пакет данных в ваш костюм. @w2 Пожалуйста, отнеситесь к этому осторожно! @p9 [Дейв] Это все, что я смог извлечь из этой катастрофы. @w2 \n\n Удачи, командир. @p9 [{Имя игрока}] Спасибо DAVE. @p9 < Конец игры>",,,,,,,,,,,,,,,,
dialogue_iMaua,Еще несколько минут и... вздох.,,,,,,,,,,,,,,,,
dialogue_YuCK8,"Боюсь, это все, что я получил от Дейва. @w2 Он частично фрагментирован — может быть, в скором времени мы сможем заполнить пробелы.",,,,,,,,,,,,,,,,
dialogue_4uMqS,"Больше вопросов, чем ответов",,,,,,,,,,,,,,,,
dialogue_4eiOW,"Пожалуйста, введите код проверки!",,,,,,,,,,,,,,,,
dialogue_GW8iG,Рутина 34,,,,,,,,,,,,,,,,
dialogue_qqmCw,Посмотрим..,,,,,,,,,,,,,,,,
dialogue_SWWiC,"Удачи, Выживший!",,,,,,,,,,,,,,,,
dialogue_e8miu,Деактивировать консоль,,,,,,,,,,,,,,,,
dialogue_qGSO8,Консоль заперта. n\n Доступ запрещен!,,,,,,,,,,,,,,,,
dialogue_2SCCQ,Деактивировать консоль,,,,,,,,,,,,,,,,
dialogue_Saq4K,"Пожалуйста, введите код или идентификатор для доступа!",,,,,,,,,,,,,,,,
dialogue_aim4S,повторять,,,,,,,,,,,,,,,,
dialogue_6K0e0,Нарушение доступа! @w4 \n\nПротокол скомпрометирован!\n\n@w4 Начало последовательности самоуничтожения!,,,,,,,,,,,,,,,,
dialogue_4qGUG,Деактивировать консоль,,,,,,,,,,,,,,,,
dialogue_Q8i4O,"Идентификация провалилась. \n\n@w4 Пожалуйста, введите действующий код для доступа.",,,,,,,,,,,,,,,,
dialogue_0meSe,Деактивировать консоль,,,,,,,,,,,,,,,,
dialogue_mOKAK,Точка доступа. @w3 Не в порядке.,,,,,,,,,,,,,,,,
dialogue_0Kimi,Войдите в <i>(Story)</i>,,,,,,,,,,,,,,,,
dialogue_uqK4E,Деактивировать консоль,,,,,,,,,,,,,,,,
dialogue_0mu4m,Сбой активации. @w3 Режим блокировки WAVERIDER.,,,,,,,,,,,,,,,,
dialogue_8YWeU,В любом случае введите свои учетные данные UCH.,,,,,,,,,,,,,,,,
dialogue_0qSGC,"Доступ обеспечен. @w2 Level Black. @w2 Welcome Commander! @w2\n Обратите внимание, что хаб AI недоступен. @w4 Услуги ограничены, пока корабль находится под контролем противника. @w4 \n\n Пожалуйста, сделайте свой выбор.",,,,,,,,,,,,,,,,
dialogue_WSjeC,Получить последний отчет о состоянии,,,,,,,,,,,,,,,,
dialogue_IWOGC,"Обратите внимание, что хаб AI недоступен. Услуги ограничены, пока корабль находится под контролем противника. n\n Пожалуйста, сделайте свой выбор.",,,,,,,,,,,,,,,,
dialogue_aub8m,Найти информацию о <color=#fbff00> Переопределить коды</color>,,,,,,,,,,,,,,,,
dialogue_u8SmD,Получите последние отчеты о состоянии,,,,,,,,,,,,,,,,
dialogue_COuB4,"Все доклады о состоянии были смягчены информацией @w2... @w2, которая недоступна. @w2\n\nПримечание. @w2 Есть файл, помеченный лично для вас! @w2 \nПодпись: @w2 M. @w2 \n Играть в файл?",,,,,,,,,,,,,,,,
dialogue_KO8uK,Файл воспроизведения <i>(Дополнительная информация)</i>,,,,,,,,,,,,,,,,
dialogue_iWrGq,Откажитесь от <i>(Пропустить)</i>,,,,,,,,,,,,,,,,
dialogue_eGGam,"Командир Мерсер взаимодействовал с IDA, изложив статус операции «Феникс» и направив командующего лейтенанта Ламарра и {PlayerName} отчитываться перед UCH 001 Titan в 08:00 и 16:00. Командир Мерсер инициировал подготовленную «Детскую программу», переместив основную часть основного ИИ IDA на оборудование {PlayerName} и обновив их клиренс до уровня BLACK. Отправление командира Мерсера на MS Titan было установлено после активации протокола велогонщика и обратного отсчета до «События» примерно за 23 часа 32 минуты.",,,,,,,,,,,,,,,,
dialogue_88401,Узнайте больше о Mercer <i>(Story)</i>,,,,,,,,,,,,,,,,
dialogue_S6SWW,Вернуться в Главное меню <i>(Пропустить)</i>,,,,,,,,,,,,,,,,
dialogue_g40em,Информация засекречена.,,,,,,,,,,,,,,,,
dialogue_8OSsW,Спросить о экипаже М на UCH Heidelberg,,,,,,,,,,,,,,,,
dialogue_iaTGm,Вернуться в Главное меню <i>(Пропустить)</i>,,,,,,,,,,,,,,,,
dialogue_mC4WO,Поиск базы данных экипажа. \n@w2 Есть только один член экипажа с этой фамилией: @w2 Джон Эдвин Мерсер младший @w2 \n2nd Командующий UCH Heidelberg. \n@w2 Статус неизвестен @w2\n Его отец был... @w2 информация засекречена.,,,,,,,,,,,,,,,,
dialogue_0Oq8C,Спросите об отце Мерсера <i> (Дополнительная информация)</i>,,,,,,,,,,,,,,,,
dialogue_0amNh,Вернуться в Главное меню <i>(Пропустить)</i>,,,,,,,,,,,,,,,,
dialogue_4wuYu,Информация засекречена. @w3 Требуется черный черный уровень доступа.,,,,,,,,,,,,,,,,
dialogue_85a4O,Вернуться в Главное меню,,,,,,,,,,,,,,,,
dialogue_maOxu,"Код Черная конфиденциальная информация!\n\n@w3 Только для глаз: @w2 Чтобы создать код переопределения для доступа к кэшу данных, защищенному от сбоев, необходимо собрать три фрагмента кода @w2. @w2 Фрагменты скрыты в <color=#fbff00> трех консолях</color>. \n\n@w2 Фрагменты нужно собрать на главной командной консоли на мостике. @p9 Местоположение должно оставаться неизвестным для всех лиц ниже уровня доступа BLACK @w4 - любой ценой! \n\n@w2 Пожалуйста, введите учетные данные снова, чтобы начать процедуру восстановления!",,,,,,,,,,,,,,,,
dialogue_OemSS,Введите учетные данные снова,,,,,,,,,,,,,,,,
dialogue_mJ0Uc,Вернуться в Главное меню,,,,,,,,,,,,,,,,
dialogue_mm4q8,"Разрешение одобрено. @w3 Восстановление Main Сгенерированный ключ. @w2\n\n Информация о восстановлении: @w2 найти все три случайно подготовленных консолей. @w2 <color=#ffffff> Они распределены по передней, средней и задней части корабля. @w2 Каждая консоль автоматически обновляет свой фрагмент кода при позиционировании главного ключа восстановления <color=#ffffff> С 2 метерами </color> консоли. @w2 Удачи вам!",,,,,,,,,,,,,,,,
dialogue_iq0qS,Конец коммуникации,,,,,,,,,,,,,,,,
dialogue_aam4W,Ожидание ввода пользователя.,,,,,,,,,,,,,,,,
dialogue_meaae,Начать процедуру маркера,,,,,,,,,,,,,,,,
